year;text;       %sim;sim/T;r/T;rt/T;t/T;r/1Kw
1150;firstgrammar;-;0;0;0;182;0
1150;homiliubok;-;0;0;0;2109;0
1210;jartein;100;1;1;1;822;0.1
1210;thorlakur;100;2;2;2;540;0.2
1250;sturlunga;100;1;1;1;2224;0.05
1250;thetubrot;-;0;0;0;246;0
1260;jomsvikingar;50;1;2;2;1532;0.11
1270;gragas;-;0;0;0;346;0
1275;morkin;100;1;1;1;2190;0.05
1300;alexander;90;9;10;10;1383;0.48
1310;grettir;100;12;12;12;2057;0.66
1325;arni;75;6;8;8;1125;0.42
1350;bandamennM;0;0;1;1;1223;0.09
1350;finnbogi;100;7;7;7;2342;0.34
1350;marta;100;1;1;1;977;0.06
1400;gunnar;50;1;2;2;936;0.26
1400;gunnar2;100;3;3;3;340;1.03
1400;viglundur;25;1;4;4;1290;0.33
1450;bandamenn;100;1;1;1;1034;0.1
1450;ectorssaga;80;4;5;5;1950;0.25
1450;judit;-;0;0;0;491;0
1450;vilhjalmur;100;4;4;4;2414;0.19
1475;aevintyri;57.14;4;7;7;1201;0.44
1480;jarlmann;75;3;4;4;1283;0.32
1525;erasmus;100;3;3;3;462;0.38
1525;georgius;100;6;6;6;1060;0.31
1540;ntacts;-;0;0;0;1185;0
1540;ntjohn;-;0;0;0;1685;0
1593;eintal;66.67;2;3;3;1552;0.14
1611;okur;60;3;5;5;629;0.35
1628;olafuregils;100;4;4;4;906;0.26
1630;gerhard;57.14;4;7;6;701;0.58
1650;illugi;62.5;5;8;8;1929;0.44
1659;pislarsaga;40;6;15;14;324;1.59
1661;indiafari;84.62;11;13;13;1388;0.61
1675;armann;100;2;2;2;1018;0.2
1675;magnus;100;2;2;2;204;0.66
1675;modars;-;0;0;0;373;0
1680;skalholt;-;0;0;0;870;0
1720;vidalin;81.25;26;32;32;1112;1.53
1725;biskupasogur;33.33;1;3;3;1105;0.15
1745;klim;83.33;10;12;12;874;0.61
1790;fimmbraedra;42.86;3;7;7;1603;0.41
1791;jonsteingrims;75;3;4;4;1518;0.2
1830;hellismenn;-;0;0;0;1411;0
1835;jonasedli;75;3;4;4;163;1.31
1850;piltur;55.56;10;18;18;1440;1.11
1859;hugvekjur;90.91;30;33;30;1107;1.81
1861;orrusta;100;6;6;6;1804;0.33
1882;torfhildur;57.89;11;19;19;2000;0.85
1883;voggur;85.71;6;7;7;130;3.88
1888;grimur;77.27;17;22;22;625;3.37
1888;vordraumur;60.53;23;38;38;759;3.88
1902;fossar;79.17;38;48;48;1659;2.65
1907;leysing;57.58;19;33;33;1520;1.77
1908;ofurefli;44;11;25;25;1743;1.39
1920;arin;68.18;15;22;22;1149;1.14
1985;margsaga;73.33;33;45;45;1705;2.13
1985;sagan;77.27;34;44;44;2008;2.17
2008;mamma;78.95;60;76;75;1845;3.6
2008;ofsi;74.42;32;43;41;1210;2.17